"entityTypeAttributeId","entityTypeId","entityTypeAttributeCode","entityTypeAttributeName","entityTypeAttributeUnit","providerId","providerEventType","active"
"1045","4","electrical.batteries.main.voltage","Batt Voltage","V","8","electrical.dc.houseBattery.voltage","Y"
"1046","4","electrical.dc.houseBattery.current","Batt Current","A","8","electrical.dc.houseBattery.current","Y"
"14","4","electrical.main.voltage","Voltage","V","","","Y"
"1041","4","environment.outside.pressure","ENV Pressure","Pa","8","environment.outside.pressure","Y"
"1040","4","environment.outside.temperature","Air Temp","K","8","environment.outside.temperature","Y"
"1050","4","environment.water.seawater.pressure","Water Press","Pa","8","environment.water.seawater.pressure","Y"
"1051","4","environment.water.seawater.temperature","Seawater Temp","K","8","environment.water.seawater.temperature","Y"
"1039","4","environment.water.temperature","Water Temp","K","8","environment.water.temperature","Y"
"1038","4","environment.wind.angleApparent","Wind Dir","rad","8","environment.wind.angleApparent","Y"
"1037","4","environment.wind.speedApparent","Wind Speed","m/s","8","environment.wind.speedApparent","Y"
"1034","4","navigation.courseOverGroundTrue","COG","rad","8","navigation.courseOverGroundTrue","Y"
"1101","4","navigation.depth","Depth","m","8","environment.depth.belowTransducer","Y"
"1032","4","navigation.headingMagnetic","Hdg Mag","rad","8","navigation.headingMagnetic","Y"
"1033","4","navigation.headingTrue","Hdg True","rad","8","navigation.headingTrue","Y"
"1031","4","navigation.position","Position","","8","navigation.position","Y"
"1035","4","navigation.speedOverGround","SOG","m/s","8","navigation.speedOverGround","Y"
"1036","4","navigation.speedThroughWater","STW","","8","navigation.speedThroughWater","Y"
"1014","4","propulsion.main.fuel.rate","FuleRate","m3/s","","","Y"
"1044","4","propulsion.main.oilPressure","Oil Press","","8","propulsion.main.oilPressure","Y"
"1042","4","propulsion.main.revolutions","RPM","","8","propulsion.main.revolutions","Y"
"1043","4","propulsion.main.temperature","Eng Temp","K","8","propulsion.main.temperature","Y"
"1048","4","tanks.freshWater.0.currentLevel","Fresh Water","","8","tanks.freshWaterTank.level","Y"
"1047","4","tanks.fuel.0.currentLevel","Fuel","","8","tanks.fuelTank.level","Y"
"1049","4","tanks.wasteWater.0.currentLevel","Waste Water","","8","tanks.wasteWaterTank.level","Y"
"1066","5","electrical.batteries.main.voltage","Batt Voltage","V","8","electrical.dc.houseBattery.voltage","Y"
"1067","5","electrical.dc.houseBattery.current","Batt Current","A","8","electrical.dc.houseBattery.current","Y"
"1062","5","environment.outside.pressure","ENV Pressure","Pa","8","environment.outside.pressure","Y"
"1061","5","environment.outside.temperature","Air Temp","K","8","environment.outside.temperature","Y"
"1071","5","environment.water.seawater.pressure","Water Press","Pa","8","environment.water.seawater.pressure","Y"
"1072","5","environment.water.seawater.temperature","Seawater Temp","K","8","environment.water.seawater.temperature","Y"
"1060","5","environment.water.temperature","Water Temp","K","8","environment.water.temperature","Y"
"1059","5","environment.wind.angleApparent","Wind Dir","rad","8","environment.wind.angleApparent","Y"
"1058","5","environment.wind.speedApparent","Wind Speed","m/s","8","environment.wind.speedApparent","Y"
"1055","5","navigation.courseOverGroundTrue","COG","rad","8","navigation.courseOverGroundTrue","Y"
